Sl no,From,To,ROUTE Length
1,Hubballi,Annigeri,38
2,Hubballi,Alagawadi,52
3,Hubballi,Aralikatti,20
4,Hubballi,Belgam,100
5,Hubballi,Bagadageri,34
6,Hubballi,Bagalakote,138
7,Hubballi,Bagenagarkoppa,40
8,Hubballi,Ballur,52
9,Hubballi,Basanal,46
10,Hubballi,Begur,31
11,Hubballi,Bengaluru-KBS,422
12,Hubballi,Chowdyal,54
13,Hubballi,Dharmastala,437
14,Hubballi,Dhulikoppa,28
15,Hubballi,Emmetti,29
16,Hubballi,Gokak,130
17,Hubballi,Gunjala,45
18,Hubballi,Guruvinahalli,33
19,Hubballi,Hanasi,38
20,Hubballi,Hanchinal,27
21,Hubballi,Hanchinal,52
22,Hubballi,Hirehonnallai,26
23,Hubballi,HOSAPET,161
24,Hubballi,HRBS,49
25,Hubballi,HULAGURU,41
26,Hubballi,Hulakoppa,38
27,Hubballi,Hulgur,41
28,Hubballi,Hullambi,41
29,Hubballi,Hunasagi,271
30,Hubballi,HVR,80
31,Hubballi,Hydrabad,542
32,Hubballi,Ichalakaranji,245
33,Hubballi,Ilakal,171
34,Hubballi,Inamkoppa,23
35,Hubballi,Ingalahalli,28
36,Hubballi,Jinnur,43
37,Hubballi,Kalaghatigi,48
38,Hubballi,Kalaghatigi,56
39,Hubballi,Kalaghatigi,34
40,Hubballi,Kalaghatigi,29
41,Hubballi,Kallaganur,112
42,Hubballi,Kamplikoppa,22
43,Hubballi,Kubihal,31
44,Hubballi,Kundagol,22
45,Hubballi,Kunkur,32
46,Hubballi,Kurdikeri,20
47,Hubballi,Kyalakonda,43
48,Hubballi,Mysuru,457
49,Hubballi,Madagaum,188
50,Hubballi,MAGADI,61
51,Hubballi,Malligawad,37
52,Hubballi,Manakwad,30
53,Hubballi,Mapsa (Goa),216
54,Hubballi,Miraj,240
55,Hubballi,Mullolli,26
56,Hubballi,Naganur,29
57,Hubballi,Navalagund,39
58,Hubballi,Navalagund,49
59,Hubballi,Panaji,204
60,Hubballi,PIMPRI,475
61,Hubballi,RNB,114
62,Hubballi,Saudatti,76
63,Hubballi,Savanur,57
64,Hubballi,Savanur,61
65,Hubballi,Shiggavi,60
66,Hubballi,Shirahatti,64
67,Hubballi,Shisuvinahal,32
68,Hubballi,Shisuvinahal,49
69,Hubballi,Shisuvinahalli,49
70,Hubballi,Shivamogga,218
71,Hubballi,Sindhanur,227
72,Hubballi,Surshettikoppa,29
73,Hubballi,Sutagatti,31
74,Hubballi,Tabakadhonnalli,36
75,Hubballi,Tarlaghatta,41
76,Hubballi,Ulavi,150
77,Hubballi,Umachagi,31
78,Hubballi,Venkatapur,71
79,Hubballi,Vijayapur,206
80,Hubballi,VRR,26
81,Hubballi,Yaliwal,25
82,Hubballi,Hampi,173
83,Hubballi,Chillur/Badni,58
84,Hubballi,Aarlikatti,20
85,Hubballi,Agadi,25
86,HRBS,Alagawadi,49
87,HRBS,Annigeri,38
88,Hubballi,Athani,215
89,HRBS,Attigeri,51
90,HRBS,Bagadageri,34
91,HRBS,Bagalkot,138
92,Hubballi,Banahatti,214
93,Hubballi,Baradwad,43
94,HRBS,Basapur,32
95,HRBS,Basapur,32
96,Hubballi,Belgaum,100
97,HRBS,Benakanahalli,38
98,HRBS,Bendalgatta,48
99,Hubballi,Bengaluru,422
100,HRBS,Chakalabbi,42
101,Kundagol,Chakalabbi,22
102,HRBS,Chiknarti,34
103,HRBS,Chowdyal,54
104,Hubballi,Davanageri,155
105,Kundagol,Davnoor,9
106,Hubballi,Dharmasthal,440
107,HRBS,Dyavanur,29
108,HRBS,Dyavanur,33
109,Hubballi,Gangavati,177
110,HRBS,Ganjigatti,28
111,HRBS,GDG,62
112,Kundagol,GDK,7
113,HRBS,GDK,33
114,HRBS,GNL,33
115,HRBS,Gudageri,55
116,HRBS,Gudenkatti,33
117,Kundagol,Gudenkatti,7
118,Hubballi,Gunjal,43
119,Hubballi,Hanagal,90
120,HRBS,Hanchinal,27
121,HRBS,Hanchinal,36
122,HRBS,Hebbal,47
123,HRBS,Hebballi,20
124,HRBS,Hiregunjala,43
125,HRBS,Hiregunjala,47
126,HRBS,Hireharakuni,36
127,HRBS,Hirenarti,35
128,HRBS,HRBS,67
129,HRBS,HRBS,68
130,Kamdolli,HRBS,31
131,HRBS,HRBS,67
132,HRBS,HRBS,47
133,HRBS,HRBS,47
134,HRBS,HRBS,67
135,HRBS,HRBS,68
136,HRBS,HRBS,68
137,HRBS,HRBS,67
138,HRBS,Hulagur,42
139,HRBS,Humanabad,447
140,Hubballi/HRBS,Hydrabad,521
141,Hubballi,Idagunji,217
142,HRBS,Ilakal,171
143,HRBS,Inagalagi,34
144,HRBS,Inagalagi,42
145,Hubballi,Jamakhandi,186
146,Hubballi,K.Kurahtti,35
147,HRBS,Kamadolli,29
148,Kundagol,Kamdolli,9
149,HRBS,Karadagi,55
150,HRBS,Koddliwad,58
151,HRBS,Koppal,125
152,HRBS,Kundagol,22
153,HRBS,Kunkur,32
154,HRBS,Kyalakonda,49
155,HRBS,Kyalakonda,43
156,HRBS,LXM,55
157,HRBS,LXM,72
158,HRBS,Malligawad,38
159,Hubballi,Manakawad,30
160,HRBS,Mattigatti,36
161,Hubballi,MIRAJ,251
162,Belagam,Miraj,140
163,HRBS,Monthrodi,73
164,HRBS,Mullolli,27
165,Hubballi,Mysuru,457
166,HRBS,Nalawatwad,233
167,HRBS,Naragund,51
168,HRBS,Naragund,58
169,HRBS,Navalgund,39
170,Nagarahalli,Neludi,12
171,Hubballi,Nigadi,475
172,Hubballi ,Panaji,204
173,Hubballi,PUNE,450
174,Gudageri,Rattigeri,5
175,Hubballi,Sagar,176
176,HRBS,Sanklipur,61
177,HRBS,Sanklipur,69
178,Hubballi,SAUNSI,34
179,HRBS,Savanur,56
180,HRBS,Shirahatti,68
181,HRBS,Shirkol,46
182,HRBS,Shisuvinahal,48
183,HRBS,Sounshi,65
184,HRBS,Tadas,28
185,Kundagol,Talghatta,16
186,Hubballi,Tarlagatta,41
187,HRBS,Tuppadakuratti,61
188,HRBS,Varavi,74
189,HRBS,Vijayapur,206
190,Hubballi,Vijayapur(JMK),255
